"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","6.258602","0.000004","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.258575","-0.000027","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.259600","0.001025","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.263210","0.003610","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.265744","0.002534","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.267279","0.001535","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.267280","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.267291","0.000011","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.268817","0.001526","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.268818","0.000001","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.268818","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.270353","0.001535","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.287249","0.016896","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.288274","0.001025","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.295441","0.007167","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.299025","0.003584","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.299026","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.299026","0.000000","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.301094","0.002068","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.301073","-0.000021","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.303143","0.002070","100","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.303122","-0.000021","91","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.305169","0.002047","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.305170","0.000001","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.307217","0.002047","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.312850","0.005633","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
